id,street,city,state,postalcode,Google/street,Google/city,Google/state,Google/postalcode
1205033,"2167 CENTRAL PARK AVENUE",YONKERS,NY,10710,"2167 Central Park Avenue",Yonkers,"New York",10710
1205034,"2361 CENTRAL PARK AVENUE",YONKERS,NY,10710,"2361 Central Park Avenue",Yonkers,"New York",10710
1205035,"#1A NEW MAIN STREET","EAST ORANGE",NJ,,"1A Main Street","East Orange","New Jersey",07018
1205036,"1 &amp; 2 FOUNTAIN LANE",GREENBURGH,NY,,"2 Fountain Lane",Scarsdale,"New York",10583
1205037,"1 &amp; 2 FOUNTAIN LANE",SCARSDALE,NY,,"1 Fountain Lane",Scarsdale,"New York",10583
1205038,"1-3 WASHINGTON SQUARE",LARCHMONT,NY,,"1 Washington Square",Larchmont,"New York",10538
1205039,"1 BALTIC PLACE",CROTON,NY,10520,"1 Baltic Place",Croton-on-Hudson,"New York",10520
1205040,"1 BARKER STREET","MT. KISKO",NY,10549,"1 Barker Street","Mount Kisco","New York",10549
1205041,"1 BEACH 105TH STREET",ROCKAWAY,NY,,"1 Beach 105th Street",Queens,"New York",11694
1205042,"1 CEDAR STREET",RYE,NY,,"1 Cedar Street",Rye,"New York",10580
1205043,"1 CEDAR STREET",RYE,NY,,"1 Cedar Street",Rye,"New York",10580
1205044,"1 CLUB WAY",HARTSDALE,NY,10530,"1 Club Way",Hartsdale,"New York",10530
1205045,"1 CUSHMAN",SCARSDALE,NY,,"1 Cushman Road",Scarsdale,"New York",10583
1205046,"1 DEKALB AVENUE",BROOKLYN,NY,,"1 Dekalb Avenue",Brooklyn,"New York",11201
1205047,"1 EAST 118TH STREET","NEW YORK",NY,,"1 East 118th Street","New York","New York",10035
1205048,"1 EAST 70TH ST.","NEW YORK",NY,10021,"1 East 70th Street","New York","New York",10021
1205049,"1 EAST FORDHAM ROAD",BRONX,NY,,"1 East Fordham Road",Bronx,"New York",10468
1205050,"1 ELM STREET",TUCKAHOE,NY,,"1 Elm Street",Tuckahoe,"New York",10707
1205051,"1 GATEWAY",NEWARK,NJ,,"1 Gateway Center",Newark,"New Jersey",07102
