id,street,city,state,postalcode,Google/street,Google/city,Google/state,Google/postalcode
1205132,"10 WEST 9TH STREET","NEW YORK",NY,,"10 West 9th Street","New York","New York",10011
1205133,"10-02 45TH AVE","LONG IS CITY",NY,,"10-21 45th Avenue",Queens,"New York",11101
1205134,"10-12 PINE COURT","NEW ROCHELLE",NY,,"10 Pine Court","New Rochelle","New York",10801
1205135,"10-14 GLENCAR AVE","NEW ROCHELLE",NY,,"10 Glencar Avenue","New Rochelle","New York",10801
1205136,"10-20 MONTGOMERY STREET",HILLSIDE,NJ,,"10 Montgomery Street",Hillside,"New Jersey",07205
1205137,"10-20 POST AVE.","NEW YORK",NY,10034,"10 Post Avenue","New York","New York",10034
1205138,"100 CENTRAL AVE.","STATEN ISLAND",NY,10301,"100 Central Avenue","Staten Island","New York",10301
1205139,"100 CHALLENGER RD","RIDGEFIELD PARK",NJ,,"100 Challenger Road","Ridgefield Park","New Jersey",07660
1205140,"100 DYCKMAN STREET","NEW YORK",NY,,"100 Dyckman Street","New York","New York",10040
1205141,"100 EAST 111TH STREET","NEW YORK",NY,10029,"100 East 111th Street","New York","New York",10029
1205142,"100 EAST 66TH STREET, AKA 633/35 PARK AVE.","NEW YORK",NY,10021,"35 Park Avenue","New York","New York",10016
1205143,"100 GREENE STREET","NEW YORK",NY,,"100 Greene Street","New York","New York",10012
1205144,"100 JAY STREET",BROOKLYN,NY,,"100 Jay Street",Brooklyn,"New York",11201
1205145,"100 KENMARE STREET","NEW YORK",NY,,"100 Kenmare Street","New York","New York",10012
1205146,"100 LANDING AVENUE",SMITHTOWN,NY,11787,"100 Landing Avenue",Smithtown,"New York",11787
1205147,"100 LAWN TERRACE",MAMARONECK,NY,,"100 Lawn Terrace",Mamaroneck,"New York",10543
1205148,"100 LEFFERTS AVE",BROOKLYN,NY,,"100 Lefferts Avenue",Brooklyn,"New York",11225
1205149,"100 LINWOOD PLAZA","FORT LEE",NJ,,"100 Linwood Avenue","Fort Lee","New Jersey",07024
1205150,"100 MAIN STREET","WHITE PLAINS",NY,10601,"100 Main Street","White Plains","New York",10601
1205151,"100 MAMARONECK AVENUE",MAMARONECK,NY,10543,"100 Mamaroneck Avenue",Mamaroneck,"New York",10543
1205152,"100 MARBLEDALE RD",TUCKAHOE,NY,,"100 Marbledale Road",Tuckahoe,"New York",10707
1205153,"100 MESEROLE AVE.",BROOKLYN,NY,,"100 Meserole Avenue",Brooklyn,"New York",11222
1205154,"100 MIDLAND AVE","PORT CHESTER",NY,,"100 Midland Avenue","Port Chester","New York",10573
