id,street,city,state,postalcode,Google/street,Google/city,Google/state,Google/postalcode
1205033,"2167 CENTRAL PARK AVENUE",YONKERS,NY,10710,"2167 Central Park Avenue",Yonkers,"New York",10710
1205034,"2361 CENTRAL PARK AVENUE",YONKERS,NY,10710,"2361 Central Park Avenue",Yonkers,"New York",10710
1205035,"#1A NEW MAIN STREET","EAST ORANGE",NJ,,"1A Main Street","East Orange","New Jersey",07018
1205036,"1 &amp; 2 FOUNTAIN LANE",GREENBURGH,NY,,"2 Fountain Lane",Scarsdale,"New York",10583
1205037,"1 &amp; 2 FOUNTAIN LANE",SCARSDALE,NY,,"1 Fountain Lane",Scarsdale,"New York",10583
1205038,"1-3 WASHINGTON SQUARE",LARCHMONT,NY,,"1 Washington Square",Larchmont,"New York",10538
1205039,"1 BALTIC PLACE",CROTON,NY,10520,"1 Baltic Place",Croton-on-Hudson,"New York",10520
1205040,"1 BARKER STREET","MT. KISKO",NY,10549,"1 Barker Street","Mount Kisco","New York",10549
1205041,"1 BEACH 105TH STREET",ROCKAWAY,NY,,"1 Beach 105th Street",Queens,"New York",11694
1205042,"1 CEDAR STREET",RYE,NY,,"1 Cedar Street",Rye,"New York",10580
1205043,"1 CEDAR STREET",RYE,NY,,"1 Cedar Street",Rye,"New York",10580
1205044,"1 CLUB WAY",HARTSDALE,NY,10530,"1 Club Way",Hartsdale,"New York",10530
1205045,"1 CUSHMAN",SCARSDALE,NY,,"1 Cushman Road",Scarsdale,"New York",10583
1205046,"1 DEKALB AVENUE",BROOKLYN,NY,,"1 Dekalb Avenue",Brooklyn,"New York",11201
1205047,"1 EAST 118TH STREET","NEW YORK",NY,,"1 East 118th Street","New York","New York",10035
1205048,"1 EAST 70TH ST.","NEW YORK",NY,10021,"1 East 70th Street","New York","New York",10021
1205049,"1 EAST FORDHAM ROAD",BRONX,NY,,"1 East Fordham Road",Bronx,"New York",10468
1205050,"1 ELM STREET",TUCKAHOE,NY,,"1 Elm Street",Tuckahoe,"New York",10707
1205051,"1 GATEWAY",NEWARK,NJ,,"1 Gateway Center",Newark,"New Jersey",07102
1205052,"1 GEORGIA AVE",BRONXVILLE,NY,,"1 Georgia Avenue",Yonkers,"New York",10708
1205053,"1 GEORGIA AVE",BRONXVILLE,NY,,"1 Georgia Avenue",Yonkers,"New York",10708
1205054,"1 HARDING AVENUE","WHITE PLAINS",NY,,"1 Harding Avenue","White Plains","New York",10606
1205055,"1 HARRISON STREET","NEW ROCHELLE",NY,,"1 Harrison Street","New Rochelle","New York",10801
1205056,"1 HAVEN PLAZA","NEW YORK",NY,,"1 Haven Plaza","New York","New York",10009
1205057,"1 HOTEL ROAD",NEWARK,NJ,
1205058,"1 HUDSON STREET",YONKERS,NY,10701,"1 Hudson Street",Yonkers,"New York",10701
1205059,"1 INDUSTRIAL LANE","NEW ROCHELLE",NY,,"1 Industrial Lane","New Rochelle","New York",10805
1205060,"1 MANURSING WAY",RYE,NY,,"1 Manursing Way",Rye,"New York",10580
1205061,"1 NORTH 4TH PLACE",BROOKLYN,NY,,"1 North 4th Place",Brooklyn,"New York",11249
1205062,"1 PALMER AVENUE",SCARSDALE,NY,,"1 Palmer Avenue",Scarsdale,"New York",10583
1205063,"1 PALMER AVENUE",SCARSDALE,NY,,"1 Palmer Avenue",Scarsdale,"New York",10583
1205064,"1 PALMER AVENUE",SCARSDALE,NY,,"1 Palmer Avenue",Scarsdale,"New York",10583
1205065,"1 PENN PLAZA","NEW YORK",NY,
1205066,"1 PROSPECT PARK WEST",BROOKLYN,NY,11215,"1 Prospect Park West",Brooklyn,"New York",11215
1205067,"1 PROSPECT PARK WEST",BROOKLYN,NY,11215,"1 Prospect Park West",Brooklyn,"New York",11215
1205068,"1 RANDALLS ISLAND","NEW YORK",NY,
1205069,"1 RIVERBEND DRIVE",PEEKSKILL,NY,,"1 Riverbend Drive",Peekskill,"New York",10566
1205070,"1 ROSE LANE",YONKERS,NY,10704,"1 Rose Lane",Yonkers,"New York",10705
1205071,"1 SOUTH OXFORD STREET",BROOKLYN,NY,11217,"1 South Oxford Street",Brooklyn,"New York",11217
1205072,"1 SPAULDING LANE",BRONX,NY,,"1 Spaulding Lane",Bronx,"New York",10471
1205073,"1 STATION PLAZA",RYE,NY,,"1 Station Plaza",Rye,"New York",10580
1205074,"1 STONELEIGH PLAZA",BRONXVILLE,NY,,"1 Stoneleigh Plaza",Bronxville,"New York",10708
1205075,"1 TERRACE VIEW AVE",BRONX,NY,,"1 Terrace View Avenue","New York","New York",10463
1205076,"1 UNION SQUARE WEST, 6TH FLOOR","NEW YORK",NY,,"1 Union Square West","New York","New York",10003
1205077,"1 UNITED NATIONS PLAZA","NEW YORK",NY,
1205078,"1 VINCENT ROAD",BRONXVILLE,NY,10708,"1 Vincent Road",Yonkers,"New York",10708
1205079,"1 WALL STREET, 5TH FLOOR","NEW YORK",NY,,"1 Wall Street","New York","New York",10005
1205080,"1 WALL STREET, 18TH FLOOR","NEW YORK",NY,,"1 Wall Street","New York","New York",10005
1205081,"1 WEST 125TH STREET","NEW YORK",NY,,"1 West 125th Street","New York","New York",10027
1205082,"1 WEST 47TH STREET","NEW YORK",NY,10036,"1 West 47th Street","New York","New York",10036
1205083,"1 WEST 54TH STREET","NEW YORK",NY,,"1 West 54th Street","New York","New York",10019
1205084,"1 WEST 54TH STREET","NEW YORK",NY,,"1 West 54th Street","New York","New York",10019
1205085,"1 WEST FARM SQ. PLAZA",BRONX,NY,10460,"1 West Farms Square Plaza",Bronx,"New York",10460
1205086,"1 WEST FARMS PLAZA",BRONX,NY,,"1 West Farms Square Plaza",Bronx,"New York",10460
1205087,"1 WEST FARMS PLAZA",BRONX,NY,,"1 West Farms Square Plaza",Bronx,"New York",10460
1205088,"1 WEST FARMS PLAZA",BRONX,NY,,"1 West Farms Square Plaza",Bronx,"New York",10460
1205089,"1 WEST FARMS PLAZA",BRONX,NY,,"1 West Farms Square Plaza",Bronx,"New York",10460
1205090,"1 WEST FARMS PLAZA",BRONX,NY,,"1 West Farms Square Plaza",Bronx,"New York",10460
1205091,"1 WEST FARMS PLAZA",BRONX,NY,,"1 West Farms Square Plaza",Bronx,"New York",10460
1205092,"1 WEST FARMS PLAZA",BRONX,NY,,"1 West Farms Square Plaza",Bronx,"New York",10460
1205093,"1 WEST FARMS PLAZA",BRONX,NY,,"1 West Farms Square Plaza",Bronx,"New York",10460
1205094,"1 WILLETT STREET","PORT CHESTER",NY,,"1 Willett Avenue","Port Chester","New York",10573
1205095,"1-13 GREENRIDGE AVE","WHITE PLAINS",NY,,"113 Greenridge Avenue","White Plains","New York",10605
